Player,Team,Position,DRS,INF GB Runs,GB Chances,DP Runs (Start),DP Runs (Pivot),IFFB Runs,Bunt Runs,OF Flyball Runs,FB Chances,OF Arm Runs,Framing Runs Saved,Pitches Framed,Blocking Runs,Stolen Base Runs,Pickoff Runs,Throwing Runs,Hometown,Age,Height,Weight,Class,Jersey,newestTeamName,newestTeamAbbrevName,newestTeamLocation,newestTeamLevel
Ryder Helfrick,Arkansas|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg,C,27.00,-0.42,10,-,-0.01,-,-0.80,-,0,-,24.49,1304,3.34,-0.55,0.96,0.41,"Discovery Bay, CA, US",21,"6' 1""",205,JR,27,University of Arkansas,ARK,Arkansas,BBC
Austin Fawley,Ole Miss|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ole-miss.svg,C,22.02,-0.13,4,-,-0.04,-,-0.42,-,0,-,15.37,1076,6.70,0.26,0.27,0.53,"West Palm Beach, FL, US",23,"6' 1""",205,JR,24,University of Mississippi,MISS,Ole Miss,BBC
Grayson Ashe,Jacksonville State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville-st.svg,C,19.67,0.15,3,-,-0.01,0.01,-0.32,-,0,-,11.28,1185,9.01,-0.90,0.45,-0.45,"Montgomery, AL, US",0,"6' 0""",188,R-JR,10,Jacksonville State University,JVST,Jacksonville State,BBC
Gavin Gallaher,North Carolina|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina.svg,2B,19.37,16.97,178,0.90,1.42,0.08,-,-,0,-,-,,-,-,-,-,"Apex, NC, US",21,"6' 1""",191,JR,5,University of North Carolina,UNC,North Carolina,BBC
Coltin Quagliano,Duke|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg,3B,19.18,17.28,145,1.28,-0.03,-0.33,0.99,-,0,-,-,,-,-,-,-,"Kewanee, IL, US",23,"5' 10""",194,GRAD,3,Duke University,DUKE,Duke,BBC
Ian Armstrong,Saint Mary's (CA)|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-marys-ca.svg,C,18.10,0.09,1,0.00,-0.01,-,-0.37,-,0,-,10.65,977,8.00,-0.56,0.31,-0.25,"El Granada, CA, US",20,"6' 1""",180,SO,38,Saint Mary's College (CA),SMC,Saint Mary's,BBC
Burke-Lee Mabeus,Oregon|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon.svg,C,17.52,-0.36,1,-,-,-,0.28,-,0,-,11.97,1156,4.20,0.73,0.70,1.43,"Henderson, NV, US",0,"6' 4""",215,SO,5,University of Oregon,ORE,Oregon,BBC
Kolby Branch,Georgia|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia.svg,SS,16.40,13.91,203,0.78,1.62,0.09,-,-,0,-,-,,-,-,-,-,"Lucas, TX, US",23,"5' 11""",190,SR,9,University of Georgia,UGA,Georgia,BBC
Ryan McKay,Michigan State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan-st.svg,2B,16.22,14.27,163,0.71,1.15,0.08,-,-,0,-,-,,-,-,-,-,"Clinton Township, MI, US",0,"6' 0""",180,JR,1,Michigan State University,MSU,Michigan State,BBC
Trevian Martinez,UC San Diego|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-san-diego.svg,C,16.15,-,0,-,-0.02,0.01,0.13,-,0,-,8.60,898,7.58,-0.15,0.00,-0.15,"Union City, CA, US",0,"6' 0""",195,SO,23,UC San Diego,UCSD,UC San Diego,BBC
