canonical_venue,n_pitches,ivb_offset,hb_offset,total_offset,n_pitchers,owner_team,is_neutral,elevation_ft,confidence,ivb_calib,hb_calib,total_calib,hb_calib_new,src,hb_calib_v2,total_calib_v2
TDAmeritrade,19782,-0.838,0.236,-0.951,311,NEUTRAL,true,1090,high,-0.722,0.285,0.776,0.273,split,0.273,0.772
Arlington,17466,0.282,-0.29,0.438,362,NEUTRAL,true,600,high,0.222,-0.314,0.385,-0.277,split,-0.277,0.355
BaumStadium,17440,-0.426,0.387,-0.535,233,ARK_RAZ,false,1400,high,-0.199,0.481,0.521,0.49,split,0.49,0.529
UGeorgia,16926,-0.058,0.208,-0.11,255,GEO_BUL,false,700,high,-0.082,0.199,0.215,0.175,split,0.175,0.193
UNC,16777,-0.436,0.248,-0.016,240,NOR_TAR,false,500,high,-0.532,0.209,0.572,0.293,split,0.293,0.607
OleMiss,16557,-0.131,-0.035,0.045,236,OLE_REB,false,500,high,-0.227,-0.074,0.239,-0.037,split,-0.037,0.23
LindseyNelsonStadium,15945,0.002,0.449,-0.564,209,TEN_VOL,false,890,high,0.046,0.468,0.47,0.465,split,0.465,0.467
PlainsmanPark,15741,0.354,-0.019,0.244,217,AUB_TIG,false,700,high,0.33,-0.028,0.331,-0.001,split,-0.001,0.33
PKPark,15261,0.155,0.281,0.456,196,ORE_DUC,false,430,high,0.034,0.232,0.234,0.182,split,0.182,0.185
KingsmoreStadium,15074,-0.32,0.005,-0.17,229,CLE_TIG,false,800,high,-0.308,0.011,0.308,-0.075,split,-0.075,0.317
UCLA,15039,1.148,0.007,1.24,190,UCLA,false,400,high,1.017,-0.046,1.018,-0.329,split,-0.329,1.069
LSU,13936,0.249,-0.375,0.468,204,LSU_TIG,false,56,high,-0.006,-0.479,0.479,-0.473,split,-0.473,0.473
DoakField,13770,-0.04,0.434,0.797,212,NOR_WOL,false,315,high,-0.202,0.368,0.42,0.367,split,0.367,0.419
UKentucky,13740,0.034,0.243,-0.26,198,KEN_WIL,false,980,high,0.111,0.275,0.297,0.15,split,0.15,0.187
Texas,13639,0.194,-0.082,-0.64,189,TEX_LON,false,490,high,0.095,-0.122,0.155,0.05,split,0.05,0.107
DickHowserStadium,13632,-0.011,0.467,-0.094,209,FLO_SEM,false,200,high,-0.214,0.384,0.44,0.382,split,0.382,0.438
BrighamYoung,13375,-1.153,-0.521,-2.849,166,BYU_COU,false,4649,high,0.24,0.053,0.246,-0.094,split,-0.094,0.258
JackCoombs,13338,0.081,-0.395,0.535,188,DUK_BLU,false,404,high,-0.049,-0.448,0.451,-0.454,split,-0.454,0.457
