raw_stadium,canonical_venue,owner_team,is_neutral,n_pitches,n_games,n_home_teams,merged_from
WilsonField,WilsonField,DAV_WIL,false,50583,303,10,""
TDAmeritrade,TDAmeritrade,NEUTRAL,true,32487,108,26,""
AlumniField,AlumniField,SOU_LIO,false,30965,99,9,""
LindseyNelsonStadium,LindseyNelsonStadium,TEN_VOL,false,28579,95,8,""
UNC,UNC,NOR_TAR,false,26306,85,7,""
BaumStadium,BaumStadium,ARK_RAZ,false,25304,86,8,""
LSU,LSU,LSU_TIG,false,25262,81,5,""
MelchingFielda,Melching Field,STE_HAT,false,24962,82,11,""
KingsmoreStadium,KingsmoreStadium,CLE_TIG,false,24412,80,7,""
UGeorgia,UGeorgia,GEO_BUL,false,24240,74,6,""
Texas,Texas,TEX_LON,false,23239,76,3,""
Liberty,Liberty,LIB_FLA,false,23010,73,6,""
OleMiss,OleMiss,OLE_REB,false,22945,71,4,""
DickHowserStadium,DickHowserStadium,FLO_SEM,false,22847,76,8,""
PKPark,PKPark,ORE_DUC,false,22629,72,4,""
JackCoombs,JackCoombs,DUK_BLU,false,22541,72,2,""
SwellThomasStadium,Sewell-Thomas Stadium,ALA_CRI,false,22480,65,1,""
BrooksField,BrooksField,UNC_SEA,false,21939,70,7,""
Olsen,Olsen,TEX_AGG,false,21921,73,7,""
PlainsmanPark,PlainsmanPark,AUB_TIG,false,21883,72,6,""
JimPatterson,JimPatterson,LOU_CAR,false,21812,72,2,""
David F. Couch,David F. Couch Ballpark,WAK_DEA,false,21792,69,3,""
Vanderbilt,Vanderbilt,VAN_COM,false,21713,73,4,""
UofSouthCarolina,UofSouthCarolina,SOU_GAM,false,21594,69,1,""
SpringsBrooksStadium,SpringsBrooksStadium,COA_CHA,false,21333,71,10,""
DoakField,DoakField,NOR_WOL,false,20971,68,3,""
Baylor,Baylor,BAY_BEA,false,20890,68,1,""
WarHawkField,WarHawkField,ULM_WAR,false,20871,73,1,""
