Batter,Position,Height,Weight,Bats,Throws,Class,Hometown,Headshot,State
"Pado, Blagen",OF,"5'10""",185,Right,Right,Sophomore,"Haymarket, Va.",https://i.imgur.com/exCFBa5.png,https://i.imgur.com/2XSzFnK.png
"Barthol, Blake",INF,"5'9""",185,Left,Right,Junior,"Allentown, Pa.",https://i.imgur.com/IoPvbAQ.png,https://i.imgur.com/ZLbTdSv.png
"Estrep, Brice",C,"5'9""",190,Right,Right,Sophomore,"Ft. Mitchell, Ky.",https://i.imgur.com/fTVSYFS.png,https://i.imgur.com/w8XZZLI.png
"Bodine, Caden",C,"5'10""",200,Switch,Right,Junior,"Haddon Heights, N.J",https://i.imgur.com/70u43oK.png,https://i.imgur.com/EjiyqTJ.png
"Born, Chad",OF,"6'1""",195,Right,Right,Senior,"Placentia, Calif.",https://i.imgur.com/zdWRTEC.png,https://i.imgur.com/F5WhI6N.png
"Thorndyke, Colby",1B/OF,"6'0""",215,Left,Right,Sophomore,"Lumberton, N.C.",https://i.imgur.com/vpAXsSX.png,https://i.imgur.com/Ydbrqg9.png
"Mihos, Dean",INF/OF,"5'9""",165,Right,Right,Junior,"Chester Springs, Pa.",https://i.imgur.com/jIij6tx.png,https://i.imgur.com/ZLbTdSv.png
"Tozzi, Domenico",C,"5'10""",195,Right,Right,Freshman,"Camp Hill, Pa.",https://i.imgur.com/Z5D7p0R.png,https://i.imgur.com/ZLbTdSv.png
"Rodriguez, Freddy",INF,"5'10""",160,Right,Right,Junior,"Wellington, Fla.",https://i.imgur.com/Ajio8oI.png,https://i.imgur.com/3brreip.png
"Huffman, Kaleb",1B/OF,"5'11""",210,Left,Left,Junior,"Locust Grove, Ga.",https://i.imgur.com/YetxQbs.png,https://i.imgur.com/1RVHKyE.png
"Perez, Ryan",OF,"5'9""",190,Left,Right,Sophomore,"Greenwich, Conn.",https://i.imgur.com/HO4vJou.png,https://i.imgur.com/dLuJQmF.png
"Alexander, Sebastian",OF,"6'1""",190,Right,Right,Senior,"Mayfield, Ohio",https://i.imgur.com/9IMPaob.png,https://i.imgur.com/pASh6II.png
"Barrango, Ty",INF,"5'11""",160,Right,Right,Junior,"San Mateo, Calif.",https://i.imgur.com/JtICOBK.png,https://i.imgur.com/F5WhI6N.png
"Dooley, Ty",INF,"5'10""",185,Left,Right,Senior,"Elgin, S.C.",https://i.imgur.com/jikLJbV.png,https://i.imgur.com/r6bmiwL.png
"Mitchell, Walker",INF,"5'11""",180,Right,Right,Sophomore,"Lexington, S.C.",https://i.imgur.com/u6Cnt6x.png,https://i.imgur.com/r6bmiwL.png
"Sykes, Wells",OF,"5'8""",185,Right,Right,Senior,"Gilbert, S.C.",https://i.imgur.com/IbuuXSK.png,https://i.imgur.com/r6bmiwL.png
