Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,Conf
1,730188544,Pioneers,Malone,Malone University,Malone,MU,BBC,,730188544,BBC,Pioneers,MU,Malone,D2 Great Midwest Athletic Conference
1,605673472,Roosevelt Lakers,Roosevelt Lakers,Roosevelt Lakers,Roosevelt Lakers,ROO,BBC,,605673472,BBC,Roosevelt Lakers,ROO,Roosevelt Lakers,D2 Great Lakes Intercollegiate Athletic Conference
1,730286848,Henderson State,Henderson State,Henderson State University,Henderson State,HSU,BBC,,730286848,BBC,Henderson State,HSU,Henderson State,D2 Great American Conference
1,730291968,Menlo,Menlo,Menlo College,Menlo,MC,BBC,,730291968,BBC,Menlo,MC,Menlo,D2 California Collegiate Athletic Association
1,730204416,Saginaw Valley State,Saginaw Valley State,Saginaw Valley State University,Saginaw Valley State,SVSU,BBC,,730204416,BBC,Saginaw Valley State,SVSU,Saginaw Valley State,D2 Great Lakes Intercollegiate Athletic Conference
1,730308608,Hillsdale,Hillsdale,Hillsdale College,Hillsdale,HC,BBC,,730308608,BBC,Hillsdale,HC,Hillsdale,D2 Great Midwest Athletic Conference
1,730312960,Timberwolves,Northwood,Northwood University (Michigan),Northwood,NWOOD,BBC,,730312960,BBC,Timberwolves,NWOOD,Northwood,D2 Great Midwest Athletic Conference
1,730252800,Colorado School of Mines,Colorado School of Mines,Colorado School of Mines,Colorado School of Mines,CSOM,BBC,,730252800,BBC,Colorado School of Mines,CSOM,Colorado School of Mines,D2 Rocky Mountain Athletic Conference
1,576632832,University of Colorado(Colorado Springs),University of Colorado(Colorado Springs),University of Colorado(Colorado Springs),University of Colorado(Colorado Springs),UCCS,BBC,,576632832,BBC,University of Colorado(Colorado Springs),UCCS,University of Colorado(Colorado Springs),D2 Rocky Mountain Athletic Conference
1,730171136,Upper Iowa,Upper Iowa,Upper Iowa University,Upper Iowa,UIU,BBC,,730171136,BBC,Upper Iowa,UIU,Upper Iowa,D2 Great Lakes Valley Conference
