Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,Conf
1,948846398,Red Devils,Lower Columbia (JC),Lower Columbia (JC),Lower Columbia (JC),LCJC,BBC,,948846398,BBC,Red Devils,LCJC,Lower Columbia (JC),JC Northwest Athletic Conference
1,535233349,Vaqueros,Santa Barbara (JC),Santa Barbara (JC),Santa Barbara (JC),SBJC,BBC,,535233349,BBC,Vaqueros,SBJC,Santa Barbara (JC),CCCAA Western State
1,666534577,Bulldogs,Allan Hancock (JC),Allan Hancock (JC),Allan Hancock (JC),AHJC,BBC,,666534577,BBC,Bulldogs,AHJC,Allan Hancock (JC),CCCAA Western State
1,718131863,Renegades,Bakersfield (JC),Bakersfield (JC),Bakersfield (JC),BJC,BBC,,718131863,BBC,Renegades,BJC,Bakersfield (JC),CCCAA Western State
1,736910065,Marauders,Antelope Valley (JC),Antelope Valley (JC),Antelope Valley (JC),AVJC,BBC,,736910065,BBC,Marauders,AVJC,Antelope Valley (JC),CCCAA Western State
1,516926186,Panthers,Chaffey (JC),Chaffey (JC),Chaffey (JC),CJC,BBC,,516926186,BBC,Panthers,CJC,Chaffey (JC),CCCAA South Coast
1,757179000,Vikings,Barstow (JC),Barstow (JC),Barstow (JC),BJC,BBC,,757179000,BBC,Vikings,BJC,Barstow (JC),CCCAA Western State
1,744321792,Blue Mountain,Blue Mountain,Blue Mountain College,Blue Mountain,BMC,BBC,,744321792,BBC,Blue Mountain,BMC,Blue Mountain,JC Northwest Athletic Conference
1,906650776,Knights,Wenatchee Valley College (JC),Wenatchee Valley College (JC),Wenatchee Valley College (JC),WVCJ,BBC,,906650776,BBC,Knights,WVCJ,Wenatchee Valley College (JC),JC Northwest Athletic Conference
1,854153627,Corsairs,Redwoods (JC),Redwoods (JC),Redwoods (JC),RJC,BBC,,854153627,BBC,Corsairs,RJC,Redwoods (JC),CCCAA Golden Valley
1,889701060,Roadrunners,Butte (JC),Butte (JC),Butte (JC),BJC,BBC,,889701060,BBC,Roadrunners,BJC,Butte (JC),CCCAA Golden Valley
1,517777395,Seahawks,Cabrillo (JC),Cabrillo (JC),Cabrillo (JC),CJC,BBC,,517777395,BBC,Seahawks,CJC,Cabrillo (JC),CCCAA Coast Pacific
1,537441609,Lobos,Monterey Peninsula (JC),Monterey Peninsula (JC),Monterey Peninsula (JC),MPJC,BBC,,537441609,BBC,Lobos,MPJC,Monterey Peninsula (JC),CCCAA Coast Pacific
1,502276355,Colts,Canada (JC),Canada (JC),Canada (JC),CJC,BBC,,502276355,BBC,Colts,CJC,Canada (JC),CCCAA Coast Pacific
1,698320381,Dons,DeAnza (JC),DeAnza (JC),DeAnza (JC),DAJC,BBC,,698320381,BBC,Dons,DAJC,DeAnza (JC),CCCAA Coast Golden Gate
1,949434136,Bulldogs,San Mateo (JC),San Mateo (JC),San Mateo (JC),SMJC,BBC,,949434136,BBC,Bulldogs,SMJC,San Mateo (JC),CCCAA Coast Golden Gate
1,599777680,Wildcats,West Los Angeles (JC),West Los Angeles (JC),West Los Angeles (JC),WLAJ,BBC,,599777680,BBC,Wildcats,WLAJ,West Los Angeles (JC),CCCAA Western State
1,873902136,Cougars,Canyons (JC),Canyons (JC),Canyons (JC),CJC,BBC,,873902136,BBC,Cougars,CJC,Canyons (JC),CCCAA Western State
1,647162824,Falcons,Cerritos (JC),Cerritos (JC),Cerritos (JC),CJC,BBC,,647162824,BBC,Falcons,CJC,Cerritos (JC),CCCAA South Coast
1,774170788,Seahawks,Los Angeles Harbor (JC),Los Angeles Harbor (JC),Los Angeles Harbor (JC),LAHJ,BBC,,774170788,BBC,Seahawks,LAHJ,Los Angeles Harbor (JC),CCCAA South Coast
1,527646478,Gladiators,Chabot (JC),Chabot (JC),Chabot (JC),CJC,BBC,,527646478,BBC,Gladiators,CJC,Chabot (JC),CCCAA Coast Golden Gate
1,725812362,Trojans,Skyline (JC),Skyline (JC),Skyline (JC),SJC,BBC,,725812362,BBC,Trojans,SJC,Skyline (JC),CCCAA Coast Pacific
1,872882511,Coyotes,Cerro Coso (JC),Cerro Coso (JC),Cerro Coso (JC),CCJC,BBC,,872882511,BBC,Coyotes,CCJC,Cerro Coso (JC),CCCAA Central Valley
1,684382034,Warriors,El Camino (JC),El Camino (JC),El Camino (JC),ECJC,BBC,,684382034,BBC,Warriors,ECJC,El Camino (JC),CCCAA South Coast
1,556967750,Vaqueros,Glendale JC (CA),Glendale JC (CA),Glendale JC (CA),GJCC,BBC,,556967750,BBC,Vaqueros,GJCC,Glendale JC (CA),CCCAA Western State
1,803416528,Owls,Citrus (JC),Citrus (JC),Citrus (JC),CJC,BBC,,803416528,BBC,Owls,CJC,Citrus (JC),CCCAA Western State
1,803155440,RiverHawks,Umpqua CC,Umpqua CC,Umpqua CC,UCC,BBC,,803155440,BBC,RiverHawks,UCC,Umpqua CC,JC Northwest Athletic Conference
1,972670388,Cougars,Clackamas CC,Clackamas CC,Clackamas CC,CCC,BBC,,972670388,BBC,Cougars,CCC,Clackamas CC,JC Northwest Athletic Conference
1,630970695,Tartars,Compton (JC),Compton (JC),Compton (JC),CJC,BBC,,630970695,BBC,Tartars,CJC,Compton (JC),CCCAA South Coast
1,906944461,Roadrunners,Rio Hondo (JC),Rio Hondo (JC),Rio Hondo (JC),RHJC,BBC,,906944461,BBC,Roadrunners,RHJC,Rio Hondo (JC),CCCAA South Coast
1,586744037,Hawks,Cosumnes River (JC),Cosumnes River (JC),Cosumnes River (JC),CRJC,BBC,,586744037,BBC,Hawks,CRJC,Cosumnes River (JC),CCCAA Big 8
1,690283602,Beavers,American River (JC),American River (JC),American River (JC),ARJC,BBC,,690283602,BBC,Beavers,ARJC,American River (JC),CCCAA Big 8
1,501284213,Eagles,Laney (JC),Laney (JC),Laney (JC),LJC,BBC,,501284213,BBC,Eagles,LJC,Laney (JC),CCCAA Bay Valley
1,801953210,Comets,Contra Costa (JC),Contra Costa (JC),Contra Costa (JC),CCJC,BBC,,801953210,BBC,Comets,CCJC,Contra Costa (JC),CCCAA Bay Valley
1,697142218,Brahmas,Los Angeles Pierce (JC),Los Angeles Pierce (JC),Los Angeles Pierce (JC),LAPJ,BBC,,697142218,BBC,Brahmas,LAPJ,Los Angeles Pierce (JC),CCCAA Western State
1,761173101,Cougars,Cuesta (JC),Cuesta (JC),Cuesta (JC),CJC,BBC,,761173101,BBC,Cougars,CJC,Cuesta (JC),CCCAA Western State
1,537898848,Raiders,Moorpark (JC),Moorpark (JC),Moorpark (JC),MJC,BBC,,537898848,BBC,Raiders,MJC,Moorpark (JC),CCCAA Western State
1,675950305,Rustlers,Golden West (JC),Golden West (JC),Golden West (JC),GWJC,BBC,,675950305,BBC,Rustlers,GWJC,Golden West (JC),CCCAA Orange Empire
1,829041000,Chargers,Cypress (JC),Cypress (JC),Cypress (JC),CJC,BBC,,829041000,BBC,Chargers,CJC,Cypress (JC),CCCAA Orange Empire
