Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,Conf
1,802105856,Harris-Stowe State,Harris-Stowe State,Harris-Stowe State University,Harris-Stowe State,HSU,BBC,,802105856,BBC,Harris-Stowe State,HSU,Harris-Stowe State,NAIA American Midwest
1,577496064,Tougaloo,Tougaloo,Tougaloo College,Tougaloo,TC,BBC,,577496064,BBC,Tougaloo,TC,Tougaloo,NAIA HBCU Athletic Conference [formerly Gulf Coast]
1,739162368,Xavier (LA),Xavier (LA),Xavier (LA),Xavier (LA),XVLA,BBC,,739162368,BBC,Xavier (LA),XVLA,Xavier (LA),NAIA Red River
1,668923648,Bushnell,Bushnell,Bushnell,Bushnell,BSHNL,BBC,,668923648,BBC,Bushnell,BSHNL,Bushnell,NAIA Cascade Collegiate
1,577501184,Shawnee State,Shawnee State,Shawnee State University,Shawnee State,SSU,BBC,,577501184,BBC,Shawnee State,SSU,Shawnee State,NAIA River States
1,730245632,Stillman,Stillman,Stillman College,Stillman,SC,BBC,,730245632,BBC,Stillman,SC,Stillman,NAIA HBCU Athletic Conference [formerly Gulf Coast]
1,690392320,University of the Cumberlands,University of the Cumberlands,University of the Cumberlands,University of the Cumberlands,UC,BBC,,690392320,BBC,University of the Cumberlands,UC,University of the Cumberlands,NAIA Mid-South
1,552833792,Dakota Wesleyan,Dakota Wesleyan,Dakota Wesleyan University,Dakota Wesleyan,DWU,BBC,,552833792,BBC,Dakota Wesleyan,DWU,Dakota Wesleyan,NAIA Great Plains
1,730360832,Oakland City,Oakland City,Oakland City University,Oakland City,OCU,BBC,,730360832,BBC,Oakland City,OCU,Oakland City,NAIA River States
1,658784733,Bearcats,Rust College,Rust College,Rust College,RUST,BBC,,658784733,BBC,Bearcats,RUST,Rust College,NAIA HBCU Athletic Conference [formerly Gulf Coast]
1,624112642,Panthers,Philander Smith College,Philander Smith College,Philander Smith College,PSC,BBC,,624112642,BBC,Panthers,PSC,Philander Smith College,NAIA HBCU Athletic Conference [formerly Gulf Coast]
1,634226864,Knights,Southern New Orleans (SUNO),Southern New Orleans (SUNO),Southern New Orleans (SUNO),SNOS,BBC,,634226864,BBC,Knights,SNOS,Southern New Orleans (SUNO),NAIA HBCU Athletic Conference [formerly Gulf Coast]
1,540962608,Bruins,Carolina,Carolina,Carolina,CARO,BBC,,540962608,BBC,Bruins,CARO,Carolina,NAIA Continental Athletic Conference
1,558302947,Ambassadors,Oakwood,Oakwood,Oakwood,OAKW,BBC,,558302947,BBC,Ambassadors,OAKW,Oakwood,NAIA HBCU Athletic Conference [formerly Gulf Coast]
1,611554601,Warriors,Westcliff,Westcliff,Westcliff,WEST,BBC,,611554601,BBC,Warriors,WEST,Westcliff,
1,690382531,Red Hawks,Simpson (CA),Simpson (CA),Simpson (CA),SCA,BBC,,690382531,BBC,Red Hawks,SCA,Simpson (CA),
