Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,ClassYear,DOB,Weight,Height,Hometown,Age,Jersey
,1085384960,J. Pokrovsky,Jarrett Pokrovsky,Pokrovsky,Jarrett,RF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,SR,2003-10-17,200,5' 10","Pittsgrove, NJ, US",22,8
,1085400320,R. Taylor,Ryan Taylor,Taylor,Ryan,CF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,SR,2004-03-25,175,5' 10","Elmer, NJ, US",22,5
,1142704384,T. Shurtleff,Thomas Shurtleff,Shurtleff,Thomas,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,SR,2004-07-18,210,6' 2","Medfield, MA, US",21,11
,1176013056,Q. Ahearn,Qwynn Ahearn,Ahearn,Qwynn,C,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,JR,2004-08-24,195,5' 11","Woodbine, MD, US",21,10
,1181535232,H. Rook,Holden Rook,Rook,Holden,LF,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,SR,2004-04-20,168,5' 10","The Woodlands, TX, US",22,2
,1192517376,M. Miesse,Maddox Miesse,Miesse,Maddox,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,SR,2003-11-08,192,6' 0","Adkins, TX, US",22,99
,1238242304,Z. Payne,Zandt Payne,Payne,Zandt,SS,Abilene Christian University,AC,730375936,Abilene Christian,BBC,S,R,GRAD,2003-07-24,179,5' 10","Edmond, OK, US",22,2
,1238307584,J. Cerwinski,John Cerwinski,Cerwinski,John,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,SR,2003-06-05,195,6' 3","Warren, NJ, US",23,37
,1254171392,R. Borho,Reese Borho,Borho,Reese,OF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,JR,2004-11-11,200,6' 0","Abilene, TX, US",21,28
,1306772736,N. Spaventa,Nick Spaventa,Spaventa,Nick,1B,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,JR,2004-10-05,220,6' 1","Pitman, NJ, US",21,44
,1310805248,C. Chavez,Connor Chavez,Chavez,Connor,2B,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,GRAD,-,175,5' 7","Fort Worth, TX, US",0,5
,1310868737,C. McGarrh,Cade McGarrh,McGarrh,Cade,IF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,SR,2003-03-03,192,6' 3","Frisco, TX, US",23,3
,1314523648,C. Greanead,Caden Greanead,Greanead,Caden,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,GRAD,2003-02-19,226,6' 3","Denton, TX, US",23,4
,1320360704,D. Baker,Davis Baker,Baker,Davis,IF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,SR,2004-01-05,200,6' 2","Dallas, TX, US",22,18
,1087364096,B. Lanman,Brett Lanman,Lanman,Brett,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,JR,2005-03-12,236,6' 5","Fairview, TX, US",21,45
,1126294528,R. Black,Ryan Black,Black,Ryan,IF,University of Georgia,UGA,226,Georgia,BBC,L,R,SR,2003-12-14,191,6' 1","Grand Prairie, TX, US",22,2
,1162512640,T. Armstrong,Tyce Armstrong,Armstrong,Tyce,1B,Baylor University,BAY,3033,Baylor,BBC,R,R,R-SR,2003-07-03,220,6' 4","Magnolia, TX, US",23,11
,1216329728,N. Robb,Nicholas Robb,Robb,Nicholas,P,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,JR,2005-04-30,175,6' 3","Keller, TX, US",21,55
,1237014016,R. Ellis,Ryan Ellis,Ellis,Ryan,2B,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,SR,-,0,5' 9","Peoria, AZ, US",0,2
,1279533312,C. Dygert,Caylon Dygert,Dygert,Caylon,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,JR,2005-05-18,195,6' 1","Magnolia, TX, US",21,9
