conf_id,conf_name,conf_short,association,level_group,division,n_teams,n_players
d2-california-collegiate-athletic-association,D2 California Collegiate Athletic Association,California Collegiate Athletic Association,NCAA,D2,NCAA D2,10,373
d2-central-atlantic-collegiate-conference,D2 Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,NCAA,D2,NCAA D2,12,469
d2-conference-carolinas,D2 Conference Carolinas,Conference Carolinas,NCAA,D2,NCAA D2,14,577
d2-east-coast-conference,D2 East Coast Conference,East Coast Conference,NCAA,D2,NCAA D2,6,211
d2-great-american-conference,D2 Great American Conference,Great American Conference,NCAA,D2,NCAA D2,12,437
d2-great-lakes-intercollegiate-athletic-conference,D2 Great Lakes Intercollegiate Athletic Conference,Great Lakes Intercollegiate Athletic Conference,NCAA,D2,NCAA D2,7,267
d2-great-lakes-valley-conference,D2 Great Lakes Valley Conference,Great Lakes Valley Conference,NCAA,D2,NCAA D2,15,578
d2-great-midwest-athletic-conference,D2 Great Midwest Athletic Conference,Great Midwest Athletic Conference,NCAA,D2,NCAA D2,12,433
d2-great-northwest-athletic-conference,D2 Great Northwest Athletic Conference,Great Northwest Athletic Conference,NCAA,D2,NCAA D2,5,180
d2-gulf-south-conference,D2 Gulf South Conference,Gulf South Conference,NCAA,D2,NCAA D2,12,443
d2-independent,D2 Independent,Independent,NCAA,D2,NCAA D2,3,102
d2-lone-star-conference,D2 Lone Star Conference,Lone Star Conference,NCAA,D2,NCAA D2,14,524
d2-mid-america-intercollegiate-athletics-association,D2 Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate Athletics Association,NCAA,D2,NCAA D2,13,467
d2-mountain-east-conference,D2 Mountain East Conference,Mountain East Conference,NCAA,D2,NCAA D2,11,397
d2-northeast-10-conference,D2 Northeast-10 Conference,Northeast-10 Conference,NCAA,D2,NCAA D2,10,354
d2-northern-sun-intercollegiate-conference,D2 Northern Sun Intercollegiate Conference,Northern Sun Intercollegiate Conference,NCAA,D2,NCAA D2,15,552
d2-pacific-west-conference,D2 Pacific West Conference,Pacific West Conference,NCAA,D2,NCAA D2,11,413
d2-peach-belt-conference,D2 Peach Belt Conference,Peach Belt Conference,NCAA,D2,NCAA D2,11,409
d2-pennsylvania-state-athletic-conference,D2 Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,NCAA,D2,NCAA D2,16,563
d2-rocky-mountain-athletic-conference,D2 Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,NCAA,D2,NCAA D2,9,346
d2-south-atlantic-conference,D2 South Atlantic Conference,South Atlantic Conference,NCAA,D2,NCAA D2,12,482
d2-southern-intercol-ath-conf,D2 Southern Intercol. Ath. Conf.,Southern Intercol. Ath. Conf.,NCAA,D2,NCAA D2,12,399
d2-sunshine-state-conference,D2 Sunshine State Conference,Sunshine State Conference,NCAA,D2,NCAA D2,11,414
d3-allegheny-mountain-collegiate-conference,D3 Allegheny Mountain Collegiate Conference,Allegheny Mountain Collegiate Conference,NCAA,D3,NCAA D3,8,284
d3-american-rivers-conference,D3 American Rivers Conference,American Rivers Conference,NCAA,D3,NCAA D3,9,306
d3-american-southwest-conference,D3 American Southwest Conference,American Southwest Conference,NCAA,D3,NCAA D3,4,159
d3-atlantic-east-conference,D3 Atlantic East Conference,Atlantic East Conference,NCAA,D3,NCAA D3,7,263
d3-centennial-conference,D3 Centennial Conference,Centennial Conference,NCAA,D3,NCAA D3,10,387
d3-city-university-of-new-york-athletic-conference,D3 City University of New York Athletic Conference,City University of New York Athletic Conference,NCAA,D3,NCAA D3,4,110
d3-coast-to-coast-athletic-conference,D3 Coast to Coast Athletic Conference,Coast to Coast Athletic Conference,NCAA,D3,NCAA D3,5,192
d3-college-conference-of-illinois-wisconsin,D3 College Conference of Illinois & Wisconsin,College Conference of Illinois & Wisconsin,NCAA,D3,NCAA D3,9,331
d3-collegiate-conference-of-the-south,D3 Collegiate Conference of the South,Collegiate Conference of the South,NCAA,D3,NCAA D3,6,214
d3-commonwealth-coast-conference,D3 Commonwealth Coast Conference,Commonwealth Coast Conference,NCAA,D3,NCAA D3,10,364
d3-empire-8,D3 Empire 8,Empire 8,NCAA,D3,NCAA D3,9,341
d3-great-northeast-athletic-conference,D3 Great Northeast Athletic Conference,Great Northeast Athletic Conference,NCAA,D3,NCAA D3,11,388
d3-heartland-collegiate-athletic-conference,D3 Heartland Collegiate Athletic Conference,Heartland Collegiate Athletic Conference,NCAA,D3,NCAA D3,10,351
d3-independent,D3 Independent,Independent,NCAA,D3,NCAA D3,1,13
