team_name,logo_url,source,trackman_team,trackman_abbr,conference,game_reference,match_score,review
Abilene Christian,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/abilene-christian.svg,NCAA D1,Abilene Christian Wildcats,ABI_WIL,WAC,AbileneChristian,97,
Air Force,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/air-force.svg,NCAA D1,Air Force,AIR_FOR,MW,FalconField,100,
Akron,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/akron.svg,NCAA D1,University of Akron,AKR_ZIP,MAC,UofAkron,100,
Alabama,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg,NCAA D1,Alabama Crimson Tide,ALA_CRI,SEC,SwellThomasStadium,94,
Alabama A&M,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-am.svg,NCAA D1,,ALA_ANM,,,,
Alabama State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-st.svg,NCAA D1,Alabama State University,ALA_HOR,SWAC,AlabamaState,100,
Albany,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-ny.svg,NCAA D1,,ALB_GRE,,,,
Alcorn State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alcorn.svg,NCAA D1,,ALC_BRA,,,,
Appalachian State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/appalachian-st.svg,NCAA D1,Appalachian State Mountaineers,APP_MOU,SBELT,JimBettieSmith,97,
Arizona,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona.svg,NCAA D1,Arizona Wildcats,ARI_WIL,BIG12,UArizona,97,
Arizona State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg,NCAA D1,Arizona State University,ARI_SUN,BIG12,PhoenixMunicipal,100,
Arkansas,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg,NCAA D1,Arkansas Razorbacks,ARK_RAZ,SEC,BaumStadium,97,
Arkansas State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas-st.svg,NCAA D1,Arkansas State Red Wolves,ASU_RED,SBELT,KellField,94,
Arkansas-Pine Bluff,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ark-pine-bluff.svg,NCAA D1,,ARK_LIO,,,,
Army,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/army.svg,NCAA D1,Army West Point Black Knights,ARM_BLA,PAT,ArmyWestPoint,88,
Auburn,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/auburn.svg,NCAA D1,Auburn Tigers,AUB_TIG,SEC,PlainsmanPark,97,
Austin Peay,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/austin-peay.svg,NCAA D1,Austin Peay State Governors,AUS_GOV,ASUN,RaymondHand,69,yes
