League,run_environment
A10,7.314855875831487
ACC,6.7021475256769385
AMEAST,7.126865671641791
AMER,6.312260536398465
ASUN,6.262135922330098
BEAST,6.816546762589927
BIG10,6.6004366812227095
BIG12,6.621309370988448
BSOU,9.018421052631577
BW,6.661585365853659
CAA,7.1699604743083025
CC,6.351063829787233
CUSA,6.588454376163873
HORZ,7.688172043010753
IVY,7.020833333333334
LS,6.220000000000001
MAC,7.043478260869565
MVC,7.524844720496894
MW,7.387096774193547
NAIA,7.222222222222223
NCAAPB,6.651162790697674
NEC,7.9305555555555545
NJCAA,6.17551963048499
OVC,8.373493975903614
PAC12,5.533333333333333
PAT,6.11
SAL,7.833333333333333
SBELT,6.029187817258882
SEC,6.438748913987837
SLAND,5.924812030075188
SOCON,6.75799086757991
SOUTH,6.84375
SUM,5.8
SWAC,6.676470588235294
TSC,6.284090909090908
Team,6.5320987654321
WAC,7.012853470437018
WCC,6.672872340425532
