HomeTeam,HomeLeague
ABI_WIL,WAC
ADR_COL,SOUTH
AIR_FOR,MW
AKR_ZIP,MAC
ALA_CRI,SEC
ALA_HOR,SWAC
ALA_LIO,ASUN
ALV_CCO,NJCAA
AND_TRO,Team
APP_MOU,SBELT
ARI_CHR,NAIA
ARI_SUN,BIG12
ARI_WIL,BIG12
ARK_RAZ,SEC
ARL_MAV,WAC
ARM_BLA,PAT
ASH_UNI,Team
ASU_RED,SBELT
AUB_PRC,SEC
AUB_TIG,SEC
AUS_COL,Team
AUS_GOV,ASUN
AVE_MAR,TSC
BAL_CAR,MAC
BAY_BEA,BIG12
BEL_BRU,MVC
BEL_KNI,SBELT
BEL_UNI,NAIA
BET_WIL,ACC
BIN_BEA,AMEAST
BOC_EAG,ACC
BRA_BRA,MVC
BRO_BEA,IVY
BRY_BUL,AMEAST
BUC_BIS,PAT
BUT_BUL,BEAST
BYU_COU,BIG12
CAL_ANT,BW
CAL_BEA,ACC
CAL_FUL,BW
CAL_LAN,WAC
CAL_MAT,BW
CAL_MUS,BW
CAL_UNI,Team
CAM_CAM,CAA
CAR_EAG,Team
CCU_BLD,ACC
CEN_COL,SOUTH
CEN_COL1,Team
CEN_MIC,MAC
CHA_BUC,BSOU
CHA_FOR,AMER
CHA_UNI,Team
CIN_BEA,BIG12
CIT_BUL,SOCON
CLE_CLE2,NJCAA
CLE_TIG,ACC
CMU_MAV,Team
COA_CHA,SBELT
COL_CHA,CAA
COL_LION,IVY
COR_BRE,IVY
CRE_BLU,BEAST
CSD_TRI,BW
CSI_EAG,NJCAA
CSU_BAK,BW
CUM_PAT,NAIA
CYP_CHR,NJCAA
DAL_PAT,CUSA
DAV_WIL,A10
DAY_FLY,A10
DEL_BLU,CAA
DEL_HOR,BEAST
DIX_STE,WAC
DUK_BLU,ACC
EAS_STR,Team
EAS_TEX,Team
EC,CC
ECU_PIR,AMER
EKU_COL,ASUN
ELO_PHO,CAA
EMU_EAG,MAC
ETS_BUC,SOCON
EVA_ACE,MVC
FAI_STA,SBELT
FGCU,ASUN
FLA_GAT,SEC
FLO_PAN,CUSA
FLO_SEM,ACC
FOR_RAM,A10
FRE_BUL,MW
FRE_PAC,Team
GEO_BUL,SEC
GEO_COL,A10
GEO_COL1,Team
GEO_EAG,SBELT
GEO_FOX,Team
GEO_PAN,SBELT
GEO_PAT,A10
GEO_SOU,NCAAPB
GIT_YEL,ACC
GON_BUL,WCC
GRA_CAN,WAC
GRA_COL,NAIA
GVU_VIK,NAIA
Gol_W,NJCAA
HAR_CRI,IVY
HAW_WAR,BW
HIG_PAN,BSOU
HOF_PRI,CAA
HOU_COU,BIG12
ILL_ILL,BIG10
ILL_ILL1,BIG10
ILL_RED,MVC
ILL_WES,Team
IND_SYC,MVC
IND_UNI1,Team
IOW_CEN,NJCAA
IOW_HAW,BIG10
IU,BIG10
JAC_GAM,CUSA
JMU_DUK,SBELT
JOH_LOG,NJCAA
JOH_LOG3,NJCAA
JUD,ASUN
KAN_JAY,BIG12
KAN_JHK,BIG12
KAN_WES,NAIA
KAN_WIL,BIG12
KEN_OWL,CUSA
KEN_WIL,SEC
KIN_COL,Team
KS_GF,MVC
LAF_LEP,PAT
LAM_CAR,SLAND
LEB_VAL,Team
LEE_UNI,Team
LEH_MOU,PAT
LEN_BEA,Team
LET_UNI,SOUTH
LIB_FLA,CUSA
LIM_STO,CC
LIP_BIS,ASUN
LIT_TRO,SEC
LON_BEA,NJCAA
LON_DIR,BW
LON_ISL22,NEC
LON_LAN,BSOU
LOU_BUL,CUSA
LOU_CAJ,SBELT
LOU_CAR,ACC
LOY_LIO,WCC
LSU_TIG,SEC
MAN_MOU,Team
MAR_LIO,Team
MAR_TER,BIG10
MAR_THU,SBELT
MCN_COW,SLAND
MER_BEA,SOCON
MEX_LOB,MW
MIA_HUR,ACC
MIA_RED,MAC
MIC_SPA,BIG10
MIC_WOL,BIG10
MID_COL,Team
MIL_UNI2,Team
MIN_GOL,BIG10
MIS_BAP,NAIA
MIS_BEA,MVC
MIZ_TIG,SEC
MON_HAW,CAA
MOR_EAG,OVC
MOU_OLV,CC
MSM_MTN,NEC
MSU_BDG,SEC
MT,AMER
MTSU_BLU,CUSA
MUR_RAC,SEC
NAV_MID,PAT
NEB,BIG10
NEV_WOL,MW
NEW_PRI,SLAND
NIC_COL,SLAND
NIU_HUS,MAC
NMS_AGG,CUSA
NOR_BIS,SEC
NOR_CAT,BIG10
NOR_GEO3,NCAAPB
NOR_HUS,CAA
NOR_TAR,ACC
NOR_WOL,ACC
NOT_IRI,ACC
OAK_GOL,HORZ
OKL_COW,BIG12
OKL_SOO,SEC
OKL_WES,NAIA
OLE_REB,SEC
ORA_GOL,SUM
ORE_BEA,PAC12
ORE_DUC,BIG10
OSU_BUC,BIG10
PAC_TIG,WCC
PAN_COL,NJCAA
PEN_NIT,BIG10
PEN_QUA,IVY
PEP_WAV,WCC
PIT_PAN,ACC
POM_COL,Team
POR_PIL,WCC
PRE_BLH,BSOU
PRI_TIG,IVY
PUR_BOI,BIG10
QUI_BOB,CAA
QUN_RYL,ASUN
RAD_HIG,BSOU
REI_UNI,NAIA
REN_LAK1,NJCAA
RHO_RAM,A10
RIC_OWL,AMER
RIC_SPI,A10
RLC_WRS,NJCAA
RUT_SCA,BIG10
SAC_HOR,WAC
SAL_JAG,SBELT
SAM_BEA,CUSA
SAM_BUL,SOCON
SAN_AZT,MW
SAN_BRO,WCC
SAN_DON,WCC
SAN_GAU,BW
SAN_JAC,NJCAA
SAN_TOR,WCC
SEA_RED,WAC
SET_HIL,Team
SET_PIR,BEAST
SHA_COM,NJCAA
SHE_UNI,Team
SLU_BILL,A10
SOU_COU,OVC
SOU_GAM,SEC
SOU_GOL,SBELT
SOU_IND16,OVC
SOU_LIO,SLAND
SOU_ORE,NJCAA
SOU_RED,OVC
SOU_TRO,BIG10
SOU_UNI,NAIA
SOU_WES,SOUTH
SOU_WES1,CC
STA_CAR,ACC
STE_HAT,ASUN
STJ_HAW,A10
STJ_RED,BEAST
STM_GAE,WCC
STU_BOB,TSC
TAR_TEX,WAC
TCU_HFG,BIG12
TEN_VOL,SEC
TEX_AGG,SEC
TEX_BOB,SBELT
TEX_ISL,BIG10
TEX_LON,SEC
TEX_RAI,BIG12
THO_M,SUM
TOL_ROC,MAC
TOW_TIG,CAA
TRE_VAL,NJCAA
TRO_T,NAIA
TRO_TRJ,SBELT
TUF_UNI,Team
TUL_GRE,AMER
TUS_PIO,Team
UAB_BLA,AMER
UCF_KNI,BIG12
UCLA,BIG10
UCO_HUS,BEAST
UIC_FLA,MVC
ULM_WAR,SBELT
UMBC_RET,AMEAST
UNC_SEA,CAA
UNC_SPA,SOCON
UNI_DAL,SOUTH
UNI_MON,Team
UNI_TEX,LS
UNL_REB,MW
UNO_MAV,SUM
USC_UPS,BSOU
USF_BUL,AMER
UTA_UTE,BIG12
UTA_WOL,WAC
UTS_EAG,NJCAA
UTS_ROA,AMER
VAL_CRU,MVC
VAN_COM,SEC
VCU_RAM,A10
VIL_WIL,BEAST
VIR_CAV,ACC
VIR_KEY,SOCON
VIR_TEC,ACC
WAK_DEA,ACC
WAS_COU,MW
WAS_HUS,BIG10
WCC,SOCON
WES_COL,Team
WES_HIL,CUSA
WES_MOU,BIG12
WIC_SHO,AMER
WIL_CAR,NAIA
WIN_EAG,BSOU
WIU_LEA,SWAC
WMI_BRO,BIG10
WM_TRI,CAA
WOF_TER,SOCON
WRI_RAI,HORZ
WVN_MN2,Team
XAV_MUS,BEAST
YAL_BUL,IVY
YOU_HAR,CC
YSU_PEN,HORZ
NA,NA
