column,type
sessionId,character
version,character
pitchUID,character
playID,character
localDateTime,character
utcDateTime,character
korBB,character
notes,character
taggerBehavior.pitchNo,integer
taggerBehavior.pAofinning,integer
taggerBehavior.pitchofPA,integer
pitcher.name,character
pitcher.id,character
pitcher.throws,character
pitcher.team,character
batter.name,character
batter.id,character
batter.side,character
batter.team,character
catcher.name,character
catcher.id,character
catcher.throws,character
catcher.team,character
gameState.inning,integer
gameState.topBottom,character
gameState.outs,integer
gameState.balls,integer
gameState.strikes,integer
pitchTag.taggedPitchType,character
pitchTag.pitchCall,character
pitchTag.autoPitchType,character
hitTag.taggedHitType,character
hitTag.autoHitType,character
playResult.playResult,character
playResult.outsOnPlay,integer
playResult.runsScored,integer
pitch.speedDrop,double
pitch.effectiveVelo,double
pitch.release.relSpeed,double
pitch.release.spinRate,double
pitch.release.extension,double
pitch.release.vertRelAngle,double
pitch.release.horzRelAngle,double
pitch.release.relHeight,double
pitch.release.relSide,double
pitch.release.confidence,character
pitch.movement.horzBreak,double
pitch.movement.vertBreak,double
pitch.movement.inducedVertBreak,double
pitch.movement.spinAxis,double
pitch.movement.tilt,character
pitch.movement.confidence,character
pitch.location.zoneTime,double
pitch.location.plateLocHeight,double
pitch.location.plateLocSide,double
pitch.location.zoneSpeed,double
pitch.location.vertApprAngle,double
pitch.location.horzApprAngle,double
pitch.location.confidence,character
pitch.nineP.pfxx,double
pitch.nineP.pfxz,double
pitch.nineP.x0.x,double
pitch.nineP.x0.y,double
pitch.nineP.x0.z,double
pitch.nineP.v0.x,double
pitch.nineP.v0.y,double
pitch.nineP.v0.z,double
pitch.nineP.a0.x,double
pitch.nineP.a0.y,double
pitch.nineP.a0.z,double
hit.lastTrackedDistance,double
hit.maxHeight,double
hit.launch.exitSpeed,double
hit.launch.hitSpinRate,double
hit.launch.angle,double
hit.launch.direction,double
hit.launch.hitSpinAxis,double
hit.launch.confidence,character
hit.launch.contactPosition.x,double
hit.launch.contactPosition.y,double
hit.launch.contactPosition.z,double
hit.positionAt110Feet.x,double
hit.positionAt110Feet.y,double
hit.positionAt110Feet.z,double
hit.landingFlat.distance,double
hit.landingFlat.bearing,double
hit.landingFlat.hangTime,double
hit.landingFlat.confidence,character
catcherThrow.popTime,double
catcherThrow.exchangeTime,double
catcherThrow.catch.confidence,character
catcherThrow.catch.catchPosition.x,double
catcherThrow.catch.catchPosition.y,double
catcherThrow.catch.catchPosition.z,double
catcherThrow.throw.throwSpeed,double
catcherThrow.throw.throwPosition.x,double
catcherThrow.throw.throwPosition.y,double
catcherThrow.throw.throwPosition.z,double
catcherThrow.location.timeToBase,double
catcherThrow.location.confidence,character
catcherThrow.location.basePosition.x,double
catcherThrow.location.basePosition.y,double
catcherThrow.location.basePosition.z,double
gameID,character
externalSessionId,character
sessionType,character
verified,logical
gameDateUtc,character
gameDateLocal,character
level.name,character
league.name,character
league.shortName,character
location.field.name,character
location.venue.name,character
homeTeam.name,character
homeTeam.shortName,character
awayTeam.name,character
awayTeam.shortName,character
strikeZone.top,double
strikeZone.bottom,double
strikeZone.right,double
strikeZone.left,double
strikeZone.type,character
strikeZone.decision,logical
date,character
