trackman_code,team_id,team,level,conf,source,n,share
ABI_WIL,730375936,Abilene Christian,D1,WAC,votes,16,1
ABR_BAL,765072494,Abraham Baldwin Agricultural College,NAIA,SSAC,votes,8,1
AIR_FOR,730205440,Air Force,D1,MW,votes,7,1
AKR_ZIP,540536064,Akron,D1,MAC,votes,16,1
ALA_ANM,730365440,Alabama A&M,D1,SWAC,votes,17,1
ALA_CRI,730206976,Alabama,D1,SEC,votes,14,1
ALA_HOR,4765,Alabama State,D1,SWAC,votes,15,1
ALA_LIO,730266624,North Alabama,D1,ASUN,votes,18,1
ALB_GRE,730280448,Albany,D1,AMEAST,votes,11,1
ALB_STA,730370048,Albany State,D2,SIAC,votes,9,1
ALC_BRA,5376,Alcorn State,D1,SWAC,votes,15,1
ALL_ALL5,675142210,Allen County CC,JUCO,R6,votes,8,1
ALL_HAN,666534577,Allan Hancock (JC),JUCO,WS,votes,7,1
ALV_CCO,918485456,Alvin CC,JUCO,R14,votes,14,1
ALV_GOL,602148996,Alvernia College,D3,MACC,votes,7,1
AND_TRO,730336512,Anderson University (S.C.),D2,SAC,votes,17,0.739
ANG_COL,933937116,Angelina College,JUCO,R14,votes,14,1
ANG_STA,730381568,Angelo State,D2,LSC,votes,13,1
APP_MOU,730240256,Appalachian State,D1,SBELT,votes,15,1
ARI_SUN,5035,Arizona State,D1,BIG12,votes,10,1
ARI_WIL,232,Arizona,D1,BIG12,votes,11,1
ARK_LIO,5377,Arkansas-Pine Bluff,D1,SWAC,votes,16,1
ARK_RAZ,3375,Arkansas,D1,SEC,votes,11,1
ARK_TEC,730305536,Arkansas Tech,D2,GAC,votes,5,1
ARK_WEE,730326016,University of Arkansas-Monticello,D2,GAC,votes,5,1
ARL_MAV,5324,UT Arlington,D1,WAC,votes,14,1
ARM_BLA,4744,Army,D1,PAT,votes,14,0.933
ASH_UNI,730205696,Ashland,D2,GMAC,votes,12,1
ASU_RED,730290176,Arkansas State,D1,SBELT,votes,12,1
AUB_TIG,5466,Auburn,D1,SEC,votes,14,1
AUB_UNI,774756608,Auburn Montgomery,D2,GSC,votes,16,0.941
AUG_UNI1,730275328,Augusta,D2,PBC,votes,12,1
AUR_UNI,516556216,Aurora,D3,NAC2,votes,3,1
AUS_COL,610500417,Austin College,D3,SCAC,votes,14,1
AUS_GOV,730219520,Austin Peay,D1,ASUN,votes,14,1
AVE_MAR,774790790,Ave Maria,NAIA,SUN,votes,14,1
AVE_UNI,630703733,Averett University,D3,ODAC,votes,6,1
AZU_PAC,730174464,Azusa Pacific,D2,PWC,votes,12,1
BAK_COL,718131863,Bakersfield (JC),JUCO,WS,votes,4,1
BAK_WIL,798470237,Baker,NAIA,HAAC,votes,11,1
BAL_CAR,730195456,Ball State,D1,MAC,votes,12,0.923
BAL_UNI,730334976,Baldwin Wallace,D3,OAC,votes,9,1
BAR_COL,730188800,Barton,D2,CC,votes,16,1
BAR_COL1,603239190,Barton CC,JUCO,R6,votes,9,1
BAT_ROU,961396562,Baton Rouge CC,JUCO,R23,votes,9,1
BAY_BEA,3033,Baylor,D1,BIG12,votes,17,1
BEL_ABB,730285824,Belmont Abbey,D2,CC,votes,9,1
BEL_BRU,730190336,Belmont,D1,MVC,votes,14,1
BEL_COL,743493077,Bellevue College,JUCO,NWAC,votes,6,1
BEL_KNI,730167552,Bellarmine,D1,ASUN,votes,16,1
BEL_UNI1,540191349,Belhaven,D3,CCS,votes,5,1
BER_COL,787533932,Berry College,D3,SAA,votes,9,1
BER_COL1,547512281,Berea College,D3,HCAC,votes,6,0.857
BET_UNI2,509156021,Bethel (IN),NAIA,CL,votes,13,1
BET_WIL,730152960,Bethune-Cookman,D1,SWAC,votes,18,1
BFS_BBS,730242816,Bluefield State,D2,IND,votes,16,1
BGS_FAL,730189056,Bowling Green,D1,MAC,votes,14,1
BIN_BEA,730155776,Binghamton,D1,AMEAST,votes,10,1
BIO_UNI,742533120,Biola,D2,PWC,votes,15,1
BLI_JC,665087985,Blinn College,JUCO,R14,votes,5,1
BLO_UNI,702750133,Bloomsburg,D2,PSAC,votes,9,1
BLU_MOU,741086202,Blue Mountain Christian,NAIA,SSAC,votes,9,1
BLU_UNI,575651042,Bluefield,NAIA,AAC,votes,7,1
BOC_EAG,227,Boston College,D1,ACC,votes,14,1
BOS_PAR,854453282,Bossier Parish CC,JUCO,R14,votes,9,1
BOW_COL,730149376,Bowdoin,D3,NESCAC,name,,
BRA_BRA,730253312,Bradley,D1,MVC,votes,16,1
BRE_COL1,775880442,Brewton Parker,NAIA,SSAC,votes,12,1
BRE_TOR,730234624,Brevard,D3,USAC,votes,7,0.875
BRI_EAG,749282839,Bridgewater College (VA),D3,ODAC,votes,8,1
BRO_BEA,730236160,Brown,D1,IVY,votes,12,1
BRY_BUL,730266880,Bryant,D1,AMEAST,votes,13,1
BRY_COL,733955370,Bryan,NAIA,AAC,votes,9,1
BUC_BIS,730214144,Bucknell,D1,PAT,votes,15,1
BUE_VIS,682655006,Buena Vista University,D3,ARC,votes,7,1
BUS_BEA,668923648,Bushnell,NAIA,CCC,name,,
BUT_BUL,730283520,Butler,D1,BEAST,votes,13,1
BUT_COL1,925759695,Butler CC,JUCO,R6,votes,11,1
BYU_COU,730257152,BYU,D1,BIG12,votes,15,1
CAL_AGO,730153984,UC Davis,D1,BW,votes,10,1
CAL_ANT,3031,UC Irvine,D1,BW,votes,13,1
CAL_BEA,730152448,California,D1,ACC,votes,15,1
